gene	DAY0_rep1	DAY0_rep2	DAY0_rep3	DAY4_rep1	DAY4_rep2	DAY4_rep3	DAY7_rep1	DAY7_rep2	DAY7_rep3	EARLY_DAY10_rep1	EARLY_DAY10_rep2	EARLY_DAY10_rep3	LATE_DAY10_rep1	LATE_DAY10_rep2	LATE_DAY10_rep3	DAY14_rep1	DAY14_rep2	DAY14_rep3	DAY21_rep1	DAY21_rep2	DAY21_rep3
Xkr4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rp1	22	6	9	34	25	47	23	15	18	10	13	12	5	1	9	6	14	3	8	2	8
Sox17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl15	1925	1765	1667	1222	1234	1316	1169	1089	1277	1126	1427	1216	532	588	377	566	652	548	577	619	505
Lypla1	2673	2312	2309	2193	2234	2117	2014	1787	2192	1826	2255	1919	690	837	858	909	1024	902	1000	898	1041
Tcea1	9410	8236	8200	6703	6961	7195	6070	5634	6677	5864	6916	6087	2385	2495	2604	3004	3955	2150	2684	2843	2980
Rgs20	87	95	93	27	35	33	30	38	35	29	43	31	19	17	5	8	24	28	22	16	27
Atp6v1h	1868	1642	1688	1845	1928	1827	1590	1514	1813	1664	1887	1693	686	718	677	764	819	732	875	683	890
Oprk1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rb1cc1	2244	2252	2015	2492	2356	2305	2231	2201	2376	1959	2059	1664	558	730	993	935	910	1453	1252	1076	1191
Alkal1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St18	1	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcmtd1	2034	1912	1879	2139	2193	1961	1758	1783	1997	1786	2141	1761	646	678	941	684	929	605	805	730	730
Sntg1	0	0	0	0	0	0	0	0	0	0	11	0	0	5	0	0	0	0	0	0	0
Rrs1	2141	1813	1962	1007	1118	1089	1096	974	1127	1238	1520	1374	461	593	591	789	606	476	846	616	775
Adhfe1	56	54	43	7	9	12	10	11	11	17	14	14	10	4	6	9	5	8	2	4	6
Vxn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Mybl1	306	279	302	123	128	122	137	106	128	233	306	232	48	46	228	111	129	88	116	72	85
Vcpip1	2191	2095	1998	1764	1743	1715	1641	1415	1681	1731	2002	1783	601	812	788	1030	765	781	1059	823	1278
Sgk3	13	21	20	95	84	81	160	150	185	130	150	150	52	46	73	108	77	124	135	130	172
Mcmdc2	20	18	18	18	18	19	8	8	10	14	12	19	1	4	12	0	12	4	13	7	11
Snhg6	2085	1904	1814	2338	2163	2427	1655	1608	1983	1038	1336	1189	508	438	462	561	789	386	394	362	328
Snord87	5	5	11	1	4	3	1	2	3	4	6	1	0	0	0	0	0	0	0	0	0
Tcf24	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r42	0	0	0	0	3	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0
Cops5	2394	2335	2173	1873	2072	1810	1542	1472	1859	1719	1987	1775	637	739	804	1036	995	730	896	799	945
Cspp1	620	651	650	385	452	505	492	458	407	596	658	539	192	324	203	242	233	521	218	203	230
Arfgef1	4187	3465	3685	3335	3714	3575	2764	2885	3397	3238	3575	3080	1032	1644	1291	1946	1455	1622	1721	1457	1988
Cpa6	18	17	16	15	19	18	11	15	10	19	22	12	8	8	6	10	23	10	14	5	16
Prex2	197	146	120	79	72	74	83	127	94	112	122	120	42	51	48	75	37	48	76	51	107
Mir6341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulf1	3	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Slco5a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdm14	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0
Ncoa2	2970	2574	2552	2125	2039	1936	1971	1893	2287	2152	2548	2154	763	1042	927	1223	917	940	1274	1032	1376
Tram1	4515	4011	4008	6565	6343	6285	5574	4928	5801	4138	4867	4524	1656	1870	1851	1763	2469	1607	1866	1744	2199
Lactb2	1472	1210	1234	936	1017	952	937	753	731	1031	1263	907	438	412	413	593	967	524	396	630	550
Xkr9	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Eya1	3587	3339	3324	1377	1432	1606	1072	1041	1272	2137	2185	1941	639	996	882	655	489	510	630	521	618
Msc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trpa1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Kcnb2	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	15853	0	0
Terf1	451	385	362	252	235	253	303	285	341	446	534	420	152	190	213	339	280	257	351	249	190
Sbspon	0	0	0	0	4	0	0	0	8	9	31	0	0	1	0	0	0	0	0	0	18
Rpl7	63220	55429	55769	46030	46586	45617	49382	44372	52043	36303	44042	38163	17137	15135	14556	18883	22330	16735	17596	16908	16564
Rdh10	333	334	305	321	317	309	259	271	284	259	309	300	102	124	120	149	131	84	100	144	110
Stau2	233	177	182	105	127	136	85	109	91	96	104	86	30	43	42	35	73	38	38	58	46
Ube2w	1820	1716	1549	1693	1810	1779	1723	1566	1727	1346	1531	1345	575	578	521	714	732	566	627	600	760
Eloc	1994	1745	1797	1260	1236	1280	1153	1155	1231	1156	1468	1280	587	429	524	879	879	808	796	537	787
Tmem70	1430	1302	1356	1067	1089	1022	1077	947	1053	924	977	928	400	346	376	449	538	361	484	472	607
Ly96	75	70	72	108	96	87	78	83	79	74	92	72	28	33	34	29	33	31	28	18	41
Jph1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0
Gdap1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pi15	2	6	3	8	4	1	4	6	7	5	6	4	0	0	1	1	0	1	10	12	1
Crispld1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2b	4338	3884	3655	2577	2754	2607	2698	2439	2792	3383	3741	3569	1096	1595	1593	2140	1551	1880	1788	1869	2651
Pkhd1	43	33	53	25	32	38	35	21	35	42	43	36	1	63	3	3	7	6	17	7	7
Mir206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17f	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	0	0	0	0	1
Mcm3	2427	2253	2345	594	574	515	937	825	1046	1839	2080	1979	908	837	594	904	603	772	1363	643	1051
Paqr8	348	316	335	83	80	99	79	68	93	92	124	116	26	60	48	30	29	33	42	23	34
Efhc1	61	70	68	60	59	52	97	64	72	70	48	58	20	29	22	37	30	20	44	27	41
Tram2	2230	2010	2049	2220	2225	1923	2339	2185	2534	2201	2443	2287	749	1032	991	1274	1185	840	1230	963	1465
Tmem14a	147	110	134	73	80	73	78	80	83	71	82	74	27	26	37	44	38	24	25	21	26
Gsta3	10	5	1	7	5	6	6	1	5	1	0	0	0	2	0	0	0	1	0	0	0
Khdc1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1b	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Kcnq5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Rims1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Mir30a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir30c-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ogfrl1	460	406	390	341	275	276	376	317	386	321	425	385	205	109	133	141	227	155	155	116	329
B3gat2	50	37	44	55	50	40	50	50	55	32	36	34	16	22	5	18	10	13	14	19	7
Smap1	2509	2177	2124	2190	2251	2023	2267	2148	2521	1860	2105	1914	711	784	843	879	1018	869	1052	867	1032
Sdhaf4	445	353	401	368	364	339	443	370	465	309	393	323	138	136	133	122	182	166	168	142	133
Fam135a	968	805	785	889	986	925	700	583	664	667	885	667	271	301	306	368	352	400	369	396	478
Col9a1	0	0	0	5	5	6	7	1	0	1	0	0	0	0	0	1	0	5931	0	0	0
Col19a1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Lmbrd1	2195	1774	1887	1909	1800	1926	1735	1631	1839	1611	2011	1829	546	580	1064	704	724	447	774	710	805
Adgrb3	6	5	5	9	2	8	7	5	1	7	7	4	0	0	0	0	0	0	0	0	0
n-R5s209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir6342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phf3	4926	4478	4281	3321	3345	3382	3035	2966	3719	3450	3796	3150	1138	1304	1709	1605	1728	1347	1582	1435	1875
Ptp4a1	2727	2336	2459	2333	2397	2316	1858	1762	2076	1675	2050	1851	664	809	744	1020	940	765	1011	791	936
Lgsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pih1d3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdrbs2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prim2	827	735	756	304	324	300	428	355	432	641	737	633	261	277	258	384	271	361	365	306	374
Rab23	2030	1948	1900	872	974	883	791	771	913	1098	994	1024	311	411	535	244	534	324	436	153	243
Bag2	1685	1454	1414	707	758	710	822	750	833	771	941	857	343	355	320	650	451	423	522	445	490
Zfp451	2169	2191	1922	1962	2074	1766	1721	1712	1987	1867	2050	1689	700	642	886	1350	859	668	1076	747	1086
Bend6	564	490	535	470	499	552	399	371	461	584	685	587	217	328	198	196	335	180	307	181	235
Dst	11620	11607	11019	13963	13481	13261	10024	10126	11574	11755	13958	11901	3843	5492	5704	5946	5346	5245	6271	4953	6142
Mir6896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir5103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc115	656	583	565	534	513	484	560	458	548	552	601	540	229	232	211	460	299	339	308	308	351
Imp4	2046	1760	1693	1212	1154	1093	1180	998	1222	1176	1319	1240	461	553	473	749	632	624	725	895	827
Ptpn18	4	21	28	6	8	3	10	8	7	3	17	6	0	11	1	0	0	0	0	0	0
Prss39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cfc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prss40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amer3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AA619741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef4	304	239	218	150	160	151	189	149	171	183	175	155	61	75	69	292	71	73	120	98	67
Fam168b	8555	7665	7683	5216	5032	4950	5350	4972	6022	6367	7602	6587	2336	3183	2675	3188	2712	2755	3271	2930	3522
Plekhb2	403	355	385	327	318	283	302	315	354	353	372	361	145	113	175	122	111	109	135	165	149
Hs6st1	2884	2611	2609	998	992	1080	911	806	976	1205	1352	1213	483	556	461	561	597	394	553	502	667
Uggt1	6739	5999	6005	4503	4724	4461	3503	3747	4106	5008	5698	5189	1632	2486	2251	2514	2741	1843	3002	2395	3117
Mir6897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neurl3	2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	746	0	0	1891	1420	1
Arid5a	838	787	722	699	882	794	483	415	547	615	568	534	226	157	305	422	335	234	426	294	492
Kansl3	2451	2333	2401	1929	2058	1848	2075	1914	2200	2136	2278	2198	717	1104	833	1079	1047	865	1185	1158	1137
Mir6898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fer1l5	53	32	37	54	48	43	54	56	64	63	69	58	27	25	23	18	25	29	33	30	31
Lman2l	1082	907	982	903	909	865	978	947	1002	886	982	899	343	364	392	529	486	373	493	326	583
Cnnm4	434	372	388	852	808	698	658	632	700	482	566	511	201	204	213	355	269	199	348	263	313
Cnnm3	1096	902	940	691	769	787	718	680	856	690	811	707	259	351	271	287	176	325	276	400	243
Ankrd23	232	204	187	227	199	184	130	176	169	121	141	120	61	55	37	48	47	53	49	23	56
Ankrd39	423	433	328	320	380	331	366	249	340	314	320	274	121	88	154	124	176	112	147	118	115
Sema4c	874	768	804	895	941	959	682	577	714	810	793	737	219	310	415	327	412	252	402	326	412
Fam178b	11	7	5	8	14	22	9	13	11	16	15	9	8	5	5	3	19	7	9	10	10
Cox5b	3377	2953	2895	2135	2084	2262	2236	1971	2461	1910	2421	2151	907	787	867	1255	1233	1006	1076	1323	1107
Actr1b	3889	3382	3630	3984	4177	3743	4073	3569	4142	3566	4031	3655	1260	1579	1648	2061	1871	1932	2272	2009	1983
Zap70	16	17	10	89	93	86	93	93	110	144	155	186	80	49	65	198	94	186	162	133	190
Tmem131	4453	3853	3937	3088	2940	2869	2445	2434	2711	2856	3243	2867	884	1370	1342	1484	1300	1014	1743	1227	1775
n-R5s210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vwa3b	0	0	0	0	6	1	0	0	0	0	1	1	0	0	3	0	0	0	3	0	1
Cnga3	12	1	5	4	4	1	1	4	13	6	1	3	3	2	0	2	1	0	0	0	0
Inpp4a	975	919	937	2205	1981	1865	2337	2168	2614	1618	1919	1604	583	685	778	1321	847	908	1118	744	1009
Coa5	4221	3863	3758	2521	2561	2569	2680	2558	2914	2678	3181	2973	1067	1282	1164	1327	1328	1208	1301	1160	1532
Unc50	1135	1066	1101	1395	1396	1345	1543	1370	1554	1148	1401	1185	497	482	499	535	609	562	580	564	630
Mgat4a	265	270	219	162	155	158	252	207	240	220	242	221	94	93	84	69	80	108	136	81	106
Tsga10	193	135	165	159	160	154	155	143	174	186	233	198	65	85	95	194	155	69	182	84	99
Lipt1	227	187	190	161	182	165	171	153	131	154	188	177	25	94	96	77	79	83	69	97	101
Mitd1	359	337	315	248	274	265	286	263	275	293	332	280	87	141	135	83	166	123	128	104	143
Mrpl30	2488	2170	2158	1651	1798	1883	1595	1351	1637	1312	1583	1432	551	513	652	749	865	618	631	620	644
Lyg2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lyg1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Txndc9	2773	2400	2454	2224	2049	2245	1905	1796	2166	1798	2024	1820	706	713	822	990	930	746	844	1041	899
Eif5b	5284	4758	4787	3315	3324	3034	3555	2859	3583	2630	3798	3310	1243	941	1680	1641	1275	1794	2293	2394	2393
Rev1	1770	1597	1627	1217	1275	1257	1115	1091	1399	1199	1462	1213	479	666	401	617	441	581	485	701	652
Aff3	1362	1208	1349	356	367	401	467	380	399	339	523	382	148	181	164	164	136	161	216	176	145
Lonrf2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Chst10	599	550	561	292	334	275	229	206	287	271	390	281	136	146	92	121	117	98	99	94	84
Nms	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdcl3	2525	2243	2407	2051	2058	2054	1790	1607	1941	1739	2230	1971	798	812	740	872	780	763	807	809	835
Mir6349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npas2	21	0	1	16	21	7	15	10	14	12	13	13	3	6	7	6	3	7	29	8	4
Rpl31	21871	18199	18716	21613	20688	21823	20390	18577	23716	17371	19636	17100	7843	7225	6356	7900	10255	6206	5786	5968	6489
Tbc1d8	35	47	30	50	34	38	69	119	43	47	40	23	13	8	25	23	44	27	71	11	20
Cnot11	1131	1076	1058	877	942	866	878	792	950	830	1079	982	328	449	374	425	529	349	609	448	496
Snord89	6	3	2	3	4	1	2	3	2	3	1	1	0	0	0	0	0	0	0	0	0
Rnf149	2019	1896	1792	1408	1493	1505	1206	1022	1117	1293	1494	1290	470	529	624	585	643	490	721	430	652
Creg2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rfx8	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0
Map4k4	8413	7608	7490	6194	6274	6367	5977	5780	6996	6305	7017	6391	2150	3081	2654	3545	3194	2653	3749	2954	3719
Il1r2	4	3	11	1	3	1	1	6	6	7	1	6	4	2	1	1	0	1	2	0	0
Il1r1	1254	1233	1260	778	735	701	639	577	694	935	1039	889	320	369	453	481	415	286	440	420	392
Il1rl2	237	165	208	217	222	250	154	158	177	158	188	138	51	64	77	41	61	45	69	60	58
Il1rl1	663	590	583	277	298	348	114	89	117	133	163	141	33	77	68	26	33	29	44	30	19
Il18r1	0	0	0	0	1	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0
Il18rap	7	7	4	4	7	3	7	0	4	16	17	18	0	14	5	5	4	4	6	34	7
Slc9a4	0	4	5	18	26	22	11	5	3	3	12	6	0	1	4	0	9	5	0	0	4
Slc9a2	1	0	1	1	1	1	1	1	1	1	2	1	0	0	0	1579	1	1898	0	0	0
Mfsd9	106	87	91	93	84	95	93	85	101	91	84	67	30	34	33	34	37	30	35	37	17
Tmem182	1	0	4	15	24	9	8	12	12	5	4	3	2	2	1	4	6	4	11	2	3
Pantr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pou3f3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pantr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dalir	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrps9	952	860	841	637	651	596	611	570	629	640	707	633	238	281	269	300	321	272	353	281	284
Gpr45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Tgfbrap1	1373	1246	1179	1290	1334	1301	1236	1258	1402	1276	1551	1198	456	551	593	798	490	508	612	516	669
AI597479	1164	993	1005	845	939	893	981	893	1036	843	1040	897	306	406	394	454	465	380	383	437	576
Fhl2	1454	1289	1293	460	428	496	814	788	867	1184	1267	1175	443	499	501	735	671	505	733	718	873
Nck2	684	594	611	193	188	213	263	242	282	323	357	326	149	123	127	123	144	86	136	134	165
Uxs1	2006	1880	1785	1321	1343	1493	1256	1168	1385	1601	2008	1752	638	770	721	704	866	522	822	656	691
Tpp2	3522	2983	3168	2632	2539	2778	2493	2477	2776	2855	3096	2782	952	1353	1188	1557	1395	1330	1568	1408	1734
Mettl21c	0	5	1	0	4	3	1	1	1	2	3	0	0	1	0	3	0	0	5	1	0
Tex30	231	221	217	110	129	135	160	122	152	217	297	230	96	130	69	148	181	129	116	121	130
Kdelc1	2189	2036	2085	1663	1721	1680	1544	1421	1753	1511	1779	1596	586	652	704	799	842	694	684	681	714
Bivm	798	649	781	647	620	645	642	601	694	513	763	600	206	250	289	414	325	264	365	237	292
Ercc5	2091	2005	1921	1656	1980	1787	1518	1316	1522	1376	1626	1382	657	492	582	902	918	878	946	723	645
Mettl21e	0	1	1	1	2	1	1	1	1	1	1	1	0	0	0	0	0	0	798	0	0
Gulp1	2113	1810	1714	1476	1393	1374	1456	1360	1467	1477	1769	1565	559	555	801	710	693	660	675	468	651
Col3a1	147014	136403	140367	113582	107571	107576	75234	68996	73189	94045	109405	97494	39547	36975	42735	61729	44310	46025	54264	38711	49819
Col5a2	85546	82554	83797	127278	121587	113008	130803	123399	141681	112110	125877	114679	43518	48692	47997	64987	51023	50400	66712	47963	61758
Wdr75	2415	2371	2407	1637	1781	1775	1479	1429	1551	1750	1995	1874	690	912	640	1049	1006	861	1308	747	1258
Slc40a1	191	212	202	180	159	122	180	220	219	309	316	276	93	139	131	112	133	72	155	190	135
Dnah7b	29	34	28	10	10	12	12	14	8	23	40	11	12	12	6	60	4	52	58	5	7
n-R5s211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnah7c	1	1	1	1	1	1	1	1	2	1	1	1	0	0	0	1858	1329	0	1345	0	1845
Slc39a10	1565	1400	1406	1195	1224	1193	1195	1130	1310	1234	1522	1427	526	646	492	639	509	614	536	421	777
Mir6350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmeff2	79	72	63	11	9	11	7	8	15	26	18	20	9	14	4	2	8	5	4	1	6
Cavin2	1623	1328	1373	159	172	186	144	126	150	229	238	213	89	81	101	75	56	54	67	53	56
Nabp1	2081	1791	1667	427	354	358	418	388	447	514	566	493	187	184	256	412	295	298	274	247	278
Myo1b	5105	4958	4867	10011	9594	8982	10488	10794	11945	7145	8060	7231	2668	2752	3507	5035	3699	3390	5522	3448	5495
Stat4	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Stat1	1603	1465	1528	755	694	715	771	830	797	1176	1271	1123	376	457	596	246	356	203	320	311	331
Gls	9828	8545	8399	5435	5915	5391	3584	3629	3799	3892	4481	4027	1322	1703	1927	2384	1771	1389	1716	1190	1599
Nab1	1930	1648	1735	2249	2283	2082	2010	1897	2186	1937	2321	2010	874	766	838	1022	922	961	914	729	1062
Nemp2	221	187	217	93	115	105	137	88	125	166	217	174	83	84	53	93	83	72	74	40	61
Mfsd6	424	317	359	439	512	493	397	310	362	430	459	447	160	174	198	189	239	109	177	204	231
Inpp1	1208	1009	1060	1018	1101	1066	913	918	891	949	1214	996	286	637	357	409	389	810	532	305	396
Hibch	765	704	674	677	727	741	599	542	635	567	640	544	221	283	194	311	323	261	266	309	383
Mstn	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pms1	375	330	349	263	259	258	274	236	263	332	387	342	152	127	140	177	196	114	250	201	185
Ormdl1	478	473	473	493	492	470	488	505	555	557	687	595	184	284	268	223	316	223	250	245	258
Osgepl1	365	305	270	416	409	401	303	292	344	320	367	314	141	128	126	263	193	165	199	128	174
Asnsd1	3554	2947	3131	2125	2256	2267	2228	2034	2427	1929	2197	1896	834	792	759	1053	1099	877	952	740	892
Dnah7a	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Stk17b	1969	1843	1861	2689	2586	2609	3244	3040	3725	3292	3968	3404	1286	1503	1446	1875	1474	1577	2536	2070	2310
Hecw2	78	68	74	340	157	202	114	231	227	168	100	129	50	51	58	138	28	186	79	41	57
Mir7681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc150	7	3	9	0	3	1	0	3	1	6	1	9	3	1	4	0	1	4	1	0	0
Gtf3c3	1091	973	999	854	796	799	737	708	810	808	834	721	272	353	318	422	367	340	443	314	456
Pgap1	1456	1380	1367	647	619	597	460	471	504	654	662	586	221	254	283	405	235	276	273	250	354
Ankrd44	5094	4781	4675	2534	2590	2373	2563	2350	2756	2378	2564	2256	845	1010	1013	979	1065	1064	994	818	1035
Sf3b1	11078	9905	9777	9387	9859	9897	8128	7769	9197	8219	8819	7530	2947	3202	3627	5097	4022	4488	4787	3181	4528
Coq10b	606	576	549	564	669	611	525	500	546	494	644	569	199	270	211	214	255	251	323	292	368
Hspd1	16626	15040	15869	7962	8421	8501	7474	6863	8052	8769	10070	9389	3416	4096	3721	5441	4851	3920	5260	4359	4893
Hspe1	6229	5345	5642	3465	3602	3802	2937	2890	3305	2970	3537	3206	1342	1298	1206	1464	1803	1228	1228	1352	1336
Mob4	2134	2144	2119	1726	1757	1640	1401	1357	1495	1568	1748	1555	702	691	538	818	885	815	853	756	729
Rftn2	1724	1659	1637	2839	2964	2694	3385	3264	3782	1986	2342	1971	756	901	846	876	919	1019	1097	960	1107
Mars2	671	664	599	378	381	366	361	318	395	476	542	513	155	194	263	296	271	189	272	203	251
Boll	0	0	0	9	0	8	0	6	6	9	5	0	0	0	0	34946	0	0	0	0	0
Plcl1	43	33	55	57	54	46	78	75	69	107	116	92	36	46	43	53	53	33	46	37	39
Hsfy2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satb2	2251	1948	1876	1936	1715	1454	3044	2837	3512	2423	2841	2442	1027	1041	983	1996	1051	1543	2649	2023	2789
Tyw5	368	296	311	301	358	251	274	257	313	232	272	245	128	82	85	100	109	217	99	112	93
Maip1	514	465	423	383	400	400	330	296	364	358	435	360	150	129	177	234	210	168	173	152	236
Spats2l	1	3	3	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Kctd18	597	576	595	404	387	444	305	344	333	341	476	303	122	113	212	165	174	120	192	153	137
Sgo2a	700	626	641	182	186	179	273	248	291	745	921	757	222	361	378	487	417	856	654	814	717
Aox1	1417	1320	1287	951	1001	917	727	701	724	677	762	626	230	266	327	266	364	292	318	226	347
Aox3	6	1	8	4	4	0	0	4	1	0	0	1	0	1	0	0	0	0	0	0	0
Aox4	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	206
Aox2	0	0	2	5	1	1	6	8	5	7	10	5	5	4	1	3	5	1	0	18	13
Bzw1	10997	9991	10121	8695	8743	8387	8905	8493	10058	9706	11616	10420	3860	4379	4369	4663	5131	4180	5474	4723	5843
Clk1	3383	2960	3044	3679	3584	3998	2673	2664	2964	2400	2907	2360	1104	852	1071	1123	1252	967	781	671	833
Ppil3	800	791	778	581	601	595	487	434	472	473	627	535	171	196	286	244	293	156	182	198	236
Nif3l1	1126	1023	1023	994	1095	1051	952	844	1076	760	942	912	284	357	402	387	456	325	478	402	560
Orc2	1341	1194	1206	775	802	816	730	746	808	943	1317	1145	520	365	456	676	750	529	733	509	735
Fam126b	687	581	666	549	626	566	434	412	586	503	502	460	212	142	229	295	287	260	274	167	319
Ndufb3	1204	1130	1060	780	882	888	881	780	1003	885	980	883	356	361	373	402	544	408	376	415	427
Als2cr12	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	294	0	676	0	0
Cflar	2359	2234	2202	2579	2611	2360	2746	2645	2866	2575	3095	2556	995	1259	1017	1525	1520	991	1532	1404	1713
Casp8	959	838	864	590	562	498	573	567	644	677	855	709	273	304	310	300	478	364	398	352	388
Trak2	2229	2131	2195	2399	2425	2156	2280	1992	2262	2597	2931	2679	899	1142	1235	1333	1236	1520	1648	1816	1969
Stradb	424	383	403	275	325	311	287	270	334	270	351	275	87	119	151	134	197	127	148	130	147
C2cd6b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
